"DATE","AVEMAX"
19840201,19
19840301,69
19840401,120
19840501,210
19840601,238
19840701,300
19840801,295
19840901,239
19841001,125
19841101,84
19841201,23
19850101,4
19850201,26
19850301,85
19850401,175
19850501,217
19850601,276
19850701,315
19850801,307
19850901,217
19851001,169
19851101,52
19851201,0
19860101,52
19860201,75
19860301,137
19860401,141
19860501,199
19860601,292
19860701,296
19860801,312
19860901,207
19861001,161
19861101,86
19861201,42
19870101,20
19870201,63
19870301,94
19870401,197
19870501,215
19870601,282
19870701,295
19870801,288
19870901,260
19871001,196
19871101,84
19871201,32
19880101,18
19880201,64
19880301,89
19880401,172
19880501,211
19880601,305
19880701,334
19880801,311
19880901,245
19881001,220
19881101,88
19881201,25
19890101,14
19890201,14
19890301,124
19890401,182
19890501,213
19890601,253
19890701,330
19890801,295
19890901,261
19891001,176
19891101,100
19891201,36
19900101,49
19900201,38
19900301,121
19900401,175
19900501,202
19900601,274
19900701,316
19900801,304
19900901,291
19901001,197
19901101,116
19901201,51
19910101,41
19910201,128
19910301,115
19910401,154
19910501,178
19960101,41
19960201,63
19960301,119
19960401,153
19960501,205
19960601,295
19960701,321
19960801,316
19960901,239
19961001,172
19961101,97
19961201,54
19970101,33
19970201,45
19970301,134
19970401,132
19970501,229
19970601,265
19970701,308
19970801,300
19970901,238
19971001,156
19971101,98
19971201,12
19980201,40
19980301,92
19980401,128
19980501,191
19980601,216
19980701,311
19980801,300
19980901,257
19981001,158
19981101,96
19981201,26
19990101,49
19990201,71
19990301,125
19990401,115
19990501,179
19990601,246
19990701,301
19990801,289
19990901,237
19991001,199
19991101,138
19991201,37
20000101,46
20000201,79
20000301,102
20000401,182
20000501,214
20000601,272
20000701,320
20000801,306
20000901,236
20001001,161
20001101,37
20001201,44
20010101,17
20010201,45
20010301,108
20010401,143
20010501,223
20010601,270
20010701,312
20010801,315
20010901,273
20011001,190
20011101,97
20011201,10
20020101,12
20020201,44
20020301,77
20020401,160
20020501,217
20020601,272
20020701,329
20020801,296
20020901,229
20021001,144
20021201,48
20030101,78
20030201,45
20030301,102
20030401,146
20030501,217
20030601,256
20030701,338
20030801,312
20030901,253
20031001,218
20031101,47
20031201,41
20040101,-8
20040201,21
20040301,134
20040401,141
20040501,203
20040601,260
20040701,300
20040801,277
20040901,250
20041001,158
20041101,82
